,description,fintech
315,Betterment is a robo-advisor that offers financial advice and investing services with the goal of helping people improve their financial well-being.,1
728,"The company is engaged in maintaining settlement accounts, processing electronic payments, maintaining payment gateways, and making settlements between platform participants. It is licensed by the Central Bank of Russia. The company has 15 international partners and over 12M users.",1
2101,"The Loans Engine provides commercial finance, secured, bridging loans, homeowner loans, second mortgages and finance advisory services.",1
2583,"ARnDAI tech connects people in AR and allows them to see and interact with exactly the same content being physically in different locations. The tech does 3 main things: 1. Analyzes users unique environments and extracts specific features (objects, surfaces, obstacles) 2. Matches users based on the similarity of their environments 3. Generates a shared virtual space for remote users in AR All the players have exactly the same experience that is tightly connected with their physical environments.",0
1850,"Address: 500 W Illinois Ave, #200, Midland, TX 79701, USA",0
527,Fintech Startup C provides a free credit score monitoring service that gives users access to their credit report and scores.,1
299,Wealthfront is an automated investment service with no minimum balance and low fees.,1
427,"We’ve reimagined everyday banking with an account that combines the benefits of chequing and savings, and high interest GICs you can purchase with the touch of a button. EQ Bank is brought to you by Equitable Bank, a federally regulated Schedule I Bank with over 750 employees and total assets under management of approximately $31 billion.",1
1987,"ExonanoRNA Therapeutics focuses on developing first-in-class, RNA nanotechnology-based therapeutics for cancer treatment. ExonanoRNA is the leader in RNA nanotechnology, which has shown to overcome the limitations of conventional cancer therapeutics and can deliver its own therapeutics (siRNA, miRNA, and chemical drugs) to specific cancer cells with significantly enhanced effect without any detectable toxicity or side effect.",0
370,"Agile Space Industries (AGILE) designs, builds, and tests in-space propulsion systems for satellites and spacecraft using state-of-the-art 3D metal alloy printing techniques. They rapidly design, manufacture, and test new engine designs in our purpose-built propulsion test facility in Durango, Colorado. They have over a decade of experience testing rocket engines for defense, civil, and commercial programs. Our engineers have worked at industry leaders like SpaceX, NASA, and Rocketdyne. They are experiencing rapid growth and are expanding both our missions and spectrum of deliverables.  AGILE was founded in 2009 in Durango, Colorado.",0
1216,"GoTab creates technology that helps operators put hospitality first, while running more resilient, profitable businesses.",1
955,"Engage Financial Technology’s mission is to help its clients lead in the digital banking revolution. Its technology platform is an ideal way to consolidate legacy payment card processing and disparate back-end systems -- using a new software layer that’s built to provide omni-channel access, intelligent real-time customer interactions and a largelibrary of personal finance management and payment card security tools. For its clients, this allows for rapidly deployable new product innovations and shifts the paradigm from transaction-centric payment card products to user experience-centric products.",1
2993,"Tokyu Agency is a advertising agency services and it is a Planning, drafting and production of advertising.",0
1338,Maintenance Insulation Company provides industrial construction services.,0
552,"Tuxuri helps our customers map sense™ the tremendous amount of location data within their organization. We deliver Geo Web experiences for our customers based on the TuxGeo+ platform. TuxGeo+ is a powerful, scalable, and secure platform designed to build and publish maps by combining your private data with a web mapping service or GIS map content to generate compelling and comprehensive visualisations. TuxGeo+ also helps clients to make sense of their data to unleash meaningful insights and reveal strategic perspectives on their business and operations.",0
1090,"Lead Scoring MQL,SAL,SQL,BANT leads Online lead scoring Data Solutions Account Profiling Integrated Marketing Campaigns Content Syndication",0
2632,"Facebook Pay is a seamless and secure way to make payments on Facebook, Instagram, Messenger and WhatsApp",1
488,Betterment is an online investment platform that provides automated portfolio management and advice.,1
2416,"Takoda Group LLC is a private investment firm that invests in middle market businesses throughout the US. Takoda focuses on companies with strong/experienced management, growth potential, defensible market positions, and diverse customers. Prospective businesses generally have revenues of $5 to 100 million and EBITDA margins greater than 10%. Areas of interest include manufacturing, business services and consumer products/services. The Firm will consider a variety of transaction types, including MBO’s, growth capital financings, recapitalizations, take privates, and corporate divestitures. Takoda Group LLC was formerly known as Takoda Capital Partners. The Firm was formed in 2005 and is based in Beachwood, Ohio.",0
2945,"Curfex brings you simplified financial services, beginning with your international money transfer. They offer interbank exchange rate, eliminating the conventional buy/sell spread. Their goal is to be the international money transfer platform in Asia, advocating fair and transparent financial services.",1
550,Wealthfront is a robo-advisor that provides automated investment management and financial planning services.,1
1896,"Address: 700 Business Park Dr, #105, Morgantown, WV 26505, USA",0
417,"group dinner is a company engaged in design in geology, mining, and environmental protection. They provide assistance in obtaining exploration and exploitation licenses and complete legislative consultancy for carrying out activities in the exploration and mining sector. Their service includes exploration designs, licensing and consulting, exploration management, supervision, monitoring, prospecting, mapping and sampling programs, GIS, modeling and evaluation, mining, environmental services, and reporting.",0
2687,Shortlisted by Apps World's 2015 Appsters Awards for Best Fintech App! Call Levels is a real-time financial monitoring and notifications app that equalizes the playing field for anyone in the financial markets.,1
1392,"Address: 4775 S Harvard Ave, #D, Tulsa, OK 74135, USA",0
1143,"Mosaic Digital is a digital products company catering to the growing needs of investors, entrepreneurs, enterprise and emerging tech companies, startups, and more. It provides advanced research and insights coupled with a credible journalism and innovative brand solutions that move markets, helps our partners and users to make informed critical decisions and power top companies and careers.",0
2652,CrossGames continues to leverage its wealth of experience to create content that enriches people's lives through networks.,0
2016,"Address : 2133 Long Spur, Avon, CO 81632, USA",0
1408,"Privitar is an enterprise software company with a global client-base across North America, Europe, and Asia. The company is the development and adoption of privacy engineering technology enabling its customers to innovate and leverage data with an uncompromising approach to data privacy. Its software is designed to allow clients to analyze potentially sensitive data while respecting customers' privacy and confidentiality, resulting in the ability to leverage large, sensitive data sets while ensuring compliance with regulations (such as GDPR, CPRA and HIPAA) and ethical data principles.Privitar was founded in 2014 and is based in London, UK.",1
398,Acorns is a micro-investing app that allows users to invest their spare change.,1
2554,"PaperByte is one of the most renowned web & IT service providers in India. The experts working with us offer the customers highly faultless, well-organized and inexpensive IT solutions. Our team of highly qualified IT professionals hold years of experience and always strive hard to endow the clients around the globe with the finest possible services. These professionals have actually managed even the highly complex web & IT projects and came up with results that were over the client’s expectations.     The PaperByte team promises to make you undergo a great service experience within your set financial affordability. So, don’t waste more of your valuable time and grab on the best custom-made web solutions, software creation services, software testing services, web designing, web development, graphic designing, and a lot more amazing services by the industry experts.  We work really hard each day to turn the small stores and organizations into renowned brand names with the help of PaperByte’s expert services.    Our Services are - Enterprise Software, Website Solution, Mobile Application, Artificial Intelligence, Machine Learning, Remote Developer, Digital Marketing, Cloud Services, Explainer Video, Graphic Design, Software Testing and Content Marketing.",0
2367,"Address: 4447 Summer Ave, Memphis, TN 38122, USA",0
2864,"Thompson Distributing is a milk products supplier. They provide Milk products, dairy, yogurt, juice, cheese, meats, and other products.",0
896,"Eagle Marketing provides relevant, on-trend, and on-brand promotional products every time. Their product categories include branded apparel, drinkware, corporate and luxury gifts, awards and plaques, trade show displays, lanyards and tote bags, business accessories, technology accessories, notepads, writing instruments, and more. They make it simple to take advantage of every opportunity with the right promotional products at the right prices.",0
2811,Mountain View Cannabis is your boutique premium cannabis dispensary. Offering highest quality products and accessories with exemplary customer service from our expert staff.,0
2872,"Q Networks is a telecommunications company based in Renton, Washington. It provides remote hands, troubleshooting network issues, site surveys, hardware installs, and site maintenance.",0
1620,"ARYZE issues fully redeemable stablecoins backed by and pegged to traditional assets 1=1. By creating the bridge between conventional fiat money and digital cryptocurrencies, ARYZE aims to be the primary payment infrastructure enabling individuals, businesses, and IoT devices to make instant payments globally in a modular ecosystem with notransaction fees. MAMA is the name of our multi-asset wallet application that will let users send, receive, and store currencies with near-zero transaction fees.",1
2869,"Nation.better is an information technology company that helps small and medium-sized companies in legal immigration. It features software streamlines and optimizes immigration processes through automation/robotics and Machine Learning technologies, while significantly reducing legal cost and providing clear guidance and compliance services to individuals and businesses.",0
2871,"MOMI Brands is a startup founded to develop and commercialize products that replicate natural nursing. It was founded in 2019 and is headquartered in Winston-Salem, NC, USA.",0
366,Cloud9 Financial provides cloud-based software solutions that help businesses manage their finances more efficiently.,1
2559,"Address : N144W6166  Pioneer Rd, Cedarburg, WI 53012, USA",0
2774,"Agent-based payment solutions. Enables users to send money through an agent network. Also enables businesses to send & receive invoices, request payments, prepaid services, and more. Offers an app-based platform that is available on iOS & Android devices.",1
2769,"WiscMed reinvented a medical device that delivers unparalleled views of the eardrum,  helping to make exams more comfortable, faster, easier, and more accurate.  Their products include Wispr and Digital Otoscope by WiscMed. The Wispr enables PPE-friendly ear exams that allow doctors to maintain more distance from the patient during the exam. Featuring an integrated LCD touchscreen, thin disposable specula, and built-in nano camera, the Wispr represents a significant advancement in otoscope technology.  The Wispr Digital Otoscope is optimized to operate with the following power options: Welch Allyn 71000-A, 71900, and 71670 rechargeable handles; Welch Allyn 767, 777 & Connex wall transformers, Heine BETA 4 71000-A, 71900 & 71670 rechargeable handles and Heine EN 100 Wall Transformer.",0
2002,"JSC ""Russian Standard Bank"" was founded in 1999. The main shareholder of the Bank is the holding company CJSC ""Company"" Russian Standard "". Today the Bank is one of the largest national financial institutions of federal significance. JSC Russian Standard Bank adheres to high standards of corporate governance and corporateethics. The management of the Bank follows international principles of management and transparency of business conduct.",1
533,"Our company is  based upon using metabolomics, genomics, and cutting edge bioinformatics to increase the rate of discovery of Natural Products by two orders of magnitude using our massively parallel metabologenomics platform.  We focus on discovering natural product solutions for the R&D pipelines of Pharmaceutical, Agriculture Crop Protection, and Animal Health companies. Our vision is to allow all life sciences companies access to novel natural products through searching our supermarket of natural products and licensing the best fit molecules from MicroMGx.",0
461,"RegHub's revolutionary collaboration model, automation systems and machine learning algorithms helps one conquer regulatory compliance challenge with ease.
RegHub is a rich regulatory platform and all teams, departments, corporate entities, partners and clients of a company are plugged in.
RegHub structures, automates and simplifies regulatory change management and compliance processes end-to-end, effectively eliminating risks and lowering costs. RegHub’s APIs allow an easy integration into the current IT architecture and further extension with specialized 3rd party solutions.",1
1514,"BancoEstado a public bank that provides financial services to people, companies and institutions.",1
2799,"LEGID is an AI-powered marketplace for on-demand, small in-app consultations from top legal experts across the world. LEGID is building a platform that brings quality legal services, at affordable prices to people across the world. Easy-to-use, intuitive and reliable. A quick and efficient way to get the right, trusted legal advice whether you're at home or abroad. It is people centric. Submit a question, get price offers from qualified lawyers around you and resolve your issue without headaches. Quick, affordable and trusted legal advice across the world that puts you in control. The platform allows clients to submit queries, get price offers from lawyers and communicate via a secure, built-in chat system. A platform unites independent lawyers and consultants, with an auction-style system, and team formation for complex jobs (tenders). LEGID allows lawyers to work virtually from anywhere, providing them with an alternative channel for practicing law and fostering a better work-life balance. We are a SaaS-enabled marketplace, a platform combining a marketplace component with SaaS and workflow features (CRM, KYC, Case Management etc.). So it is a SaaS product, but with a marketplace dynamic. We are a platform, which empowers people. We are not focusing only on disrupting the legal industry. We are thinking of how to help people in this industry to be more efficient and active. Currently LEGID App serves its clients in Estonia, Latvia, Lithuania and Poland. Target market is the Europe. Products: Marketplace, AI, B2B SaaS, Web App, Mobile App Industry: Law Tech and Legal Tech",0
824,"Shada is a hotel chain company that delivers curated lodging experiences. The company's name bears symbolic and historical weight, it carries the legacy of the hilltop Grand Palace of Abha.",0
1282,"Laundromat in Niagara Falls, ON",0
416,if we talk about pizza shops in cape may then Pizza Heaven is one of the leading destinations for you. We are providing affordable cost pizzas for many years and offer the fastest delivery of pizza in cape may region. You can contact our team and know more about the cost of pizzas and chicken.,0
709,"Wizypay provides a 100% digital gift card dealing with all the disadvantages of prepaid vouchers. Technically, we developed an integrated platform to manage and monitor the whole lifecycle of a digital prepaid voucher.Wizypay proposes a complete change of perspective compared to existing offerings.",1
1189,"iFAST Corporation Ltd. (“iFAST Corp”) is a leading wealth management Fintech platform headquartered in Singapore. Incorporated in the year 2000 in Singapore and listed on the SGX-Mainboard in December 2014 (stock code: AIY), iFAST Corp is also present in Hong Kong, Malaysia, China and India. The Group provides a comprehensive range of investmentproducts and services, to financial advisory (FA) firms, banks, financial institutions, internet companies, multinational companies, as well as retail and high net worth investors in Asia.",1
2716,"Address: 3489 Calvin Coolidge Memorial Hwy, Guilford, VT 05301, USA",0
2527,"When outages happen, be the first to know. PulseWave provides developers and their teams with a simple APM solution by instantly alerting support when a web application drops in performance or stops all together. Receive real-time data, the simple way.",0
1203,"Founded in 1991 and headquartered in New York's financial district, AxiomSL has offices all over the world. They provide enterprise-wide infrastructure and analytical applications in the areas of data integration and warehousing, financial and energy risk management, regulatory reporting, compliance and financial control.",1
2924,"Phase 2 Cellars is a producer of nuanced and balanced pinot noir and chardonnay wines intended to provide natural wine for customers. The company full service, state-of-the-art laboratory is available for analyses from vineyard to bottle and carries out all standard analyses in-house.  Phase 2 Cellars platform combines traditional methods such as hand punch down and whole berry uncrushed fermentation's with cutting edge technology in soil exploration and vineyard mapping, enabling wine lovers to enjoy the purest variety of wines. Founded in 1998 and is headquartered in San Luis Obispo, CA, USA.",0
1486,"Explainer Videoly is an award winning video production company with offices in Malaysia and United States. We are powered by a team of animators, illustrators, copywriters and creatives. Our primary focus is on creating premium quality explainer videos using ground breaking techniques and technologies available to date. We have served more than 200 corporate clients from various sectors such as Oil & Gas, Banking, Airlines, Manufacturing, Governments and many more.",0
844,Nippon Export and Investment Insurance is a credit agency of Japan.,0
714,"TD AMERITRADE Holding Corporation, through its subsidiaries, provides securities brokerage services and technology-based financial services in the United States. The company provides common and preferred stocks, exchange-traded funds, option trades, mutual funds, fixed income, margin lending, and cash management services.",1
2058,"Address: 401 12th St S, Arlington, VA 22202, USA",0
2645,Cashfree helps customer automate loan disbursals and repayment collection. Its solutions fit perfectly in your loan management system. Benefit from advanced APIs and a range of integrations and offer an excellent user experience.,1
1119,"Redpagos is one of the most important national companies within the field of payments and collections; establishing a wide network of premises located in all the departments of Uruguay, which reaffirms its marked national character.",1
2771,"TerraForm Companies is dedicated to net lease developments, delivering specialized expertise with integrity for over 30 years.",0
1550,Valley National Bank is a regional financial institution,1
1014,"PayWithMyBank allows you to pay or get paid easily by connecting to your online banking account without leaving the merchant’s site or app. Using our secure portal, you simply log in to your online banking with the bank login information you know by heart. The merchant never sees your login info, and there is no account to create, no card, banknumbers or billing info to provide, and no new password to remember. Your bank verifies your identity, and provides the same security you trust daily for online banking.",1
1651,"ARC Building Solutions is a specialist manufacturer of cavity fire barriers and cavity closers. ARC Building Solutions' range of fire protection products have achieved CERTIFIRE, an independent third-party certification scheme that assures performance, quality, reliability and traceability of fire protection products. It is an internationally respected mark of fire safety, recognised by regulatory authorities worldwide.",0
557,"
With MACH we are revolutionizing the financial industry with a free solution for everyone that allows you to buy in international stores, pay your friends, share expenses easily and quickly through a unique mobile experience.",1
1209,"Sunrise is a free calendar app. Designed with love, Sunrise is a new experience that will make your life easier. Available on Android, iPhone, iPad & Web.",1
2702,POS terminal and payment gateway solution for businesses,1
1480,CloudCard offers cutting-edge payment solutions to fintech and banks.,1
2401,Digital distribution platform for PC games and a PC/mobile games publisher with gaming apps to give more value to players.,0
958,"RappiBank was born to be a complete digital bank, made in Rappi for Rappi. Our mission is to help the Rappi ecosystem become increasingly solid for all its participants, whether individuals or corporations. With RappiCard, we offer the best cashback card in the Brazilian market, without asterisks. At RappiBankPJ we have our credit solutions for companies where we offer clean credit options, without bureaucracy, and totally digital for Rappi allies.",1
419,Acorn helps you invest spare change into a diversified portfolio of stocks and ETFs.,1
1955,"Propath is a specialist in molecular pathology for biopharmaceutical research and development. For over three decades, Propath’s GLP and GCP compliant facility in Hereford has successfully collaborated on studies with biopharmaceutical companies, large and small, across the world.",0
1027,Payson is one of the leading companies in Sweden for online payments and provide smart payment solutions for e-Commerce and individuals. Use the services of Payson and your Payson Account to pay and get paid online. You will never need to provide personal information to anyone you’re doing business with.,1
504,"Reiter, Hill & Johnson is a comprehensive obstetrics and gynecology practice with fourteen physicians, four nurse practitioners, one physician assistant, a team of excellent sonographers, a large support staff, and the most-up-to-date equipment.",0
1693,"Pioneer Paint serves quality paint products for home, commercial, state, and federal institutions, industrial, and agriculture. It manufactures the paint of the quality for architectural, industrial, agricultural, and institutional.",0
1469,"Get4x comprises of a directory of money changers in various cities that list their cash exchange rates online so travellers can search for, compare and save on currency conversion when they lock in a favourable rate and make a currency booking through the platform. Get4x is available on web, iOS and Android. ",1
537,"leo has helped 4 million people improve their relationship with money. But she’s not a bank. She’s a platform for the 99% – an AI assistant defining a new category, one that goes beyond saving and budgets to actually changing how people feel about finances. Through chat, she provides users with deep insight aboutmoney, while suggesting personalised financial products that increase the ability to save. ",1
342,"Barchart is a leading provider of content and services to the global financial, media, and commodities industries.  Its diversified client base trusts Barchart's innovative Solutions across data, software, and technology to power their operations from front to back office, while its Media brands enable financial and commodity professionals to make decisions through web content, news, and publications.",1
130,We are a young and dynamic startup team product based company creating a devotional community .Our mission is to create a platform which will change the way you access information over internet about religion.  We had an amazing journey so far and survive many ups and downs and now feel very confident that we can create a powerful devotional platform where people can access and interact with information easily.,0
1150,dynacart is an integrated B2C e-commerce website operator and also operates white label platforms offering global B2B e-commerce solutions. dynacart is making the world a smaller place by connecting shoppers with brands through B2C online marketplaces and B2B e-commerce platforms. ,1
350,"FinanceMe is a one-stop shop for all your financial needs, from banking and investing to insurance and tax preparation services.",1
2245,Trade with thousands managing millions.,1
600,Angstrom Advanced is a supplier of laboratory and testing equipment.,0
534,"We simplify trade and communications oversight and regulatory reporting by integrating and connecting large volumes of data from multiple sources on a single platform. This enables financial firms to meet regulatory obligations more efficiently and accurately than any other solution. With SteelEye, you gain full visibility and control of yourtrading and compliance operations, with cutting-edge analytics that provide timely insights on risks and opportunities.",1
1568,"Pathotrak's award-winning technology reduces the detection time of food-safety tests from 1-2 days to 6h by replacing the traditional 22-hour enrichment process. Our patented tech meets and exceeds FDA and USDA regulations and integrates into most detection systems. Our innovation is poised to revolutionize the safety and logistics of food. It will reduce the holding time and holding costs associated with food-safety testing, reduce operational costs, enable rapid recalls, and avoid dangerous outbreaks.",0
505,Betterment is an app that helps you save money and invest it in a portfolio of ETFs.,1
1981,"Our technology stops fraud at the source, by eliminating many kinds of electronic impersonation. ",1
233,"Whitepages helps individuals and small businesses contact, vet, and verify people.  More than 35 million people per month use our people search engine to get in touch with extended friends and family, research backgrounds and verify that people. Whitepages was founded in 1997 and is headquartered in Seattle, Washington.",0
584,"Company specializing in secure digital identity verification services using biometrics such as facial recognition, fingerprints, and iris scanning9..",1
303,"Summit2Sea Consulting (S2S) is an information technology and management consulting firm that provides hyper-personalized, innovative solutions to Federal and Commercial clients by combining people, process and technology. We enable transformation by combining our functional expertise, technology and process design. Summit2Sea specializes in delivering in data analytics, system integration and process automation AI.",0
169,"DeltaConsult provides professional consulting services and R&D in the FINTECH and Payments Industry. Helping the clients to innovate by promoting various FinTech Platforms and other relevant financial software platforms and solutions. They advise on IT/technology strategy, project management, outsourcing solutions, business efficiencyconsulting and savings, product developments, and business proposals.",1
2086,"ID.me simplifies how individuals prove and share their identity online. The ID.me secure digital identity network has 64 million members with over 145,000 individuals joining daily, as well as partnerships with 27 states, multiple federal agencies, and over 500 name brand retailers. The company provides identity proofing, authentication and group affiliation verification for organizations across sectors.",1
536,Foxtrot Technologies is a leading provider of cutting-edge financial technology solutions.,1
133,Acorns helps you invest your spare change.,1
22,AmeriSave Mortgage Corporation is a direct mortgage lender operating in 49 states and DC,1
504,"Ameris Bank is a financial holding company providing financial services. Ameris Bank is a full-service banking and mortgage locations in Alabama, Georgia, Florida, South Carolina, and Tennessee. Ameris Bank has nearly $7 billion in assets with over 20 years of consecutive average asset growth. Ameris Bank has been publicly traded on the NASDAQ under ABCB since 1994.  With over 16 quarters of continued profitability, Ameris Bank has successfully maneuvered through the latest economic cycle.",1
301,"Robinhood is a commission-free stock trading app that allows users to buy and sell stocks, ETFs, options, and cryptos.",1
568,"Founded in 2013, LoanMe is a California based lender that offers unsecured installment loans to qualified borrowers. Their loans are typically used for one-time purchases and debt consolidation; they also have the potential to help customers rebuild their credit score, by making payments on time. The entire process is completed over the internet, phone and fax. Funds can be transferred into the borrower's checking account in as little as a day.",1
34,"Pai Xueche is an Internet driving training platform. The school adopts a consultant tracking system throughout the process. The company will equip each student with an exclusive learning car consultant, from registration to the student's driver's license, the whole process of tracking.",0
1040,"Champion Laboratories is a manufacturer of light-duty and heavy-duty filter, original and aftermarket brands equipment filters.",0
1351,"XUP Payments is a vertically focused payment platform that develops digital payments software for financial institutions. It provides a seamless connection between financial services, processors, merchants, and ultimately customers. XUP's platform removes the friction that merchants face when onboarding and managing their payments experience.",1
1682,"SENSeOR SAS is a consumer electronics company that provides energy,automation,healthcare and other industries.",0
